state_code,states,locations,year,total,latitude,longitude
CH,Chandigarh,Passenger Vehicles,2018,0,21.30039105,76.13001949
CH,Chandigarh,Private Vehicles,2018,0,21.30039105,76.13001949
CH,Chandigarh,Goods carriers vehicles,2018,0,21.30039105,76.13001949
CH,Chandigarh,Others ,2018,0,21.30039105,76.13001949
CH,Chandigarh,School Buildings,2019,0,21.30039105,76.13001949
CH,Chandigarh,Commercial Buildings,2019,0,19.25023195,73.16017493
CH,Chandigarh,Residential Buildings,2019,2,19.25023195,73.16017493
CH,Chandigarh,Government Buildings ,2019,0,19.25023195,73.16017493
CH,Chandigarh,Mines,2019,0,19.25023195,73.16017493
CH,Chandigarh,Factory Manufacturing,2019,2,19.25023195,73.16017493
CH,Chandigarh,Other Factories ,2019,2,19.25023195,73.16017493
CH,Chandigarh,Train,2019,0,19.25023195,73.16017493
CH,Chandigarh,Automobile Vehicles,2019,0,19.25023195,73.16017493
