states,year,alcohol_deaths,latitude,longitude,state_code,speed_deaths,state_code
Chhattisgarh,2019,335,22.09042035,82.15998734,CG,1307,
NCT of Delhi,2019,51,28.6699929,77.23000403,DL,0,
Goa,2019,9,15.491997,73.81800065,GA,208,
Gujarat,2019,42,22.2587,71.1924,GJ,4498,
Haryana,2019,1095,28.45000633,77.01999101,HR,1635,
Himachal Pradesh,2019,74,31.10002545,77.16659704,HP,944,
Jammu & Kashmir,2019,388,34.29995933,74.46665849,JK,399,
Jharkhand,2019,611,23.80039349,86.41998572,JH,783,
Karnataka,2019,2207,12.57038129,76.91999711,KA,5231,
Kerala,2019,35,8.900372741,76.56999263,KL,2683,
Madhya Pradesh,2019,3540,21.30039105,76.13001949,MP,5201,
Maharashtra,2019,1251,19.25023195,73.16017493,MH,8587,
Manipur,2019,0,24.79997072,93.95001705,MN,0,
Meghalaya,2019,25,25.57049217,91.8800142,ML,18,
Mizoram,2019,16,23.71039899,92.72001461,MZ,46,
Nagaland,2019,91,25.6669979,94.11657019,NL,0,
Odisha,2019,637,19.82042971,85.90001746,OD,1782,
Puducherry,2019,73,11.93499371,79.83000037,PY,227,
Punjab,2019,442,31.51997398,75.98000281,PB,1600,
Rajasthan,2019,915,26.44999921,74.63998124,RJ,4244,
Sikkim,2019,8,27.3333303,88.6166475,SK,8,
Tamil Nadu,2019,1416,12.92038576,79.15004187,TN,7343,
Telangana,2019,968,18.1124,79.0193,TS,0,
Tripura,2019,12,23.83540428,91.27999914,TR,136,
Uttar Pradesh,2019,1232,27.59998069,78.05000565,UP,1321,
Uttarakhand,2019,508,30.32040895,78.05000565,UK,405,
West Bengal,2019,0,22.58039044,88.32994665,WB,797,
